author,title,filename,color
Conan Doyle,The Adventures of Gerard,ACD1644-0.txt,red
Conan Doyle,The Adventures of Sherlock Holmes,ACD1661-0.txt,red
Conan Doyle,The Return of Sherlock Holmes,ACD221-0.txt,red
Conan Doyle,The White Company,ACD903-0.txt,red
Conan Doyle,The Poison Belt,ACDpg126.txt,red
Conan Doyle,The Lost World,ACDpg139.txt,red
Conan Doyle,The Captain of the Pole-Star,ACDpg294.txt,red
Conan Doyle,Tales of Terror and Mystery,ACDpg537.txt,red
Conan Doyle,My friend the murderer,ACDpg69260.txt,red
Conan Doyle,The Memoirs of Sherlock Holmes,ACDpg834.txt,red
Grant Allen,The Woman Who Did,GA4396-0.txt,green
Grant Allen,Blood Royal,GA47426-0.txt,green
Grant Allen,Linnet,GA48296-0.txt,green
Grant Allen,Hilda Wade,GA4903-0.txt,green
Grant Allen,The Great Taboo,GApg13876.txt,green
Grant Allen,Miss Cayley's Adventures,GApg30970.txt,green
Grant Allen,An African Millionaire,GApg4715.txt,green
Grant Allen,Recalled to Life,GApg5832.txt,green
Grant Allen,Michael's Crag,GApg5869.txt,green
Grant Allen,Philistia,GApg6060.txt,green
Thomas Hardy,Far from the Madding Crowd,TH107-0.txt,blue
Thomas Hardy,Return of the Native,TH122-0.txt,blue
Thomas Hardy,Mayor of Casterbridge,TH143-0.txt,blue
Thomas Hardy,A Pair of Blue Eyes,TH224-0.txt,blue
Thomas Hardy,Desperate Remedies,TH3044-0.txt,blue
Thomas Hardy,Wessex Tales,TH3056-0.txt,blue
Thomas Hardy,Under the Greenwood Tree,THpg2662.txt,blue
Thomas Hardy,The Trumpet-Major,THpg2864.txt,blue
Thomas Hardy,Two on a Tower,THpg3146.txt,blue
Thomas Hardy,The Hand of Ethelberta,THpg3469.txt,blue
